Country;GDP_USD;Population;GDP_per_capita;Bunker_fuel_consumption_TBPD;Bunker_residual_fuel_oil_consumption_TBPD;Crude_oil_including_lease_condensate_exports_TBPD;Crude_oil_including_lease_condensate_imports_TBPD;Crude_oil_including_lease_condensate_production_TBPD;Crude_oil_including_lease_condensate_reserves_BB;Distillate_fuel_oil_consumption_TBPD;Distillate_fuel_oil_production_TBPD;Jet_fuel_consumption_TBPD;Jet_fuel_production_TBPD;Kerosene_consumption_TBPD;Kerosene_production_TBPD;Liquefied_petroleum_gases_(LPG)_consumption_TBPD;Liquefied_petroleum_gases_(LPG)_production_TBPD;Motor_gasoline_consumption_TBPD;Motor_gasoline_production_TBPD;Natural_gas_plant_liquids_production_TBPD;Other_liquids_production_TBPD;Other_refined_products_consumption_TBPD;Other_refined_products_production_TBPD;Petroleum_and_other_liquids_CO2_emissions_MMTCD;Petroleum_and_other_liquids_consumption_TBPD;Petroleum_and_other_liquids_production_TBPD;Refined_petroleum_products_consumption_TBPD;Refined_petroleum_products_production_TBPD;Refinery_processing_gain_TBPD;Residual_fuel_oil_consumption_TBPD;Residual_fuel_oil_production_TBPD;Biomass_and_waste_electricity_installed_capacity_MK;Biomass_and_waste_electricity_net_generation_BKWH;Electricity_distribution_losses_BKWH;Electricity_exports_BKWH;Electricity_imports_BKWH;Electricity_installed_capacity_MK;Electricity_net_consumption_BKWH;Electricity_net_generation_BKWH;Electricity_net_imports_BKWH;Fossil_fuels_electricity_installed_capacity_MK;Fossil_fuels_electricity_net_generation_BKWH;Geothermal_electricity_installed_capacity_MK;Geothermal_electricity_net_generation_BKWH;Hydroelectric_pumped_storage_electricity_installed_capacity_MK;Hydroelectric_pumped_storage_electricity_net_generation_BKWH;Hydroelectricity_installed_capacity_MK;Hydroelectricity_net_generation_BKWH;Non-hydro_renewable_electricity_installed_capacity_MK;Non-hydro_renewable_electricity_net_generation_BKWH;Nuclear_electricity_installed_capacity_MK;Nuclear_electricity_net_generation_BKWH;Renewable_electricity_installed_capacity_MK;Renewable_electricity_net_generation_BKWH;Solar_electricity_installed_capacity_MK;Solar_electricity_net_generation_BKWH;Tide_and_wave_electricity_installed_capacity_MK;Tide_and_wave_electricity_net_generation_BKWH;Wind_electricity_installed_capacity_MK;Wind_electricity_net_generation_BKWH
ElSalvador;22593470000.00;6295124;3589.04;3.3;0;0;0;0;0;11;0;3.3;0;0;0;8.8;0;11;0;0;0;0.5;0;6.4;46;0;46;0;0;11;0;0.3;0.4;0.7;0.2;0.6;1.9;5.8;6.1;0.4;0.9;2.4;0.2;1.6;0;0;0.5;1.7;0.5;2;0;0;1;3.7;0;0;0;0;0;0
Estonia;26634083965.10;1314545;20261.07;5.8;5;0;0;0;0;15;0;1;0;0;0;0.4;0;5.6;0;0;13;1.6;0;4.3;29;13;29;0;0;5.7;0;0.3;0.8;0.8;6.5;3.7;2.9;7.6;11;-2.8;2.4;9.7;0;0;0;0;0;0;0.6;1.4;0;0;0.6;1.5;0;0;0;0;0.3;0.6
Ethiopia;55612228233.52;98094264;566.93;8.4;0;0;0;0;0;35;0;10;0;6.5;0;0.2;0;5.7;0;0;0.2;7.2;0;9.9;67;0.2;67;0;0;2.3;0;0;0;2.1;0.8;0;2.4;6.6;9.5;-0.8;0.2;0;0;0;0;0;2;8.9;0.3;0.5;0;0;2.2;9.5;0;0;0;0;0.2;0.5
Finland;274862826772.16;5461512;50327.24;0;0;0;228;0;0;82;131;15;12;0;0;33;9.2;35;100;0;8.3;30;18;27;207;16;207;292;7.9;11;22;1.8;12;2.8;3.7;22;16;81;66;18;7.7;17;0;0;0;0;3.2;13;2.4;13;2.8;23;5.6;26;0;0;0;0;0.6;1.1
France;2855964488590.19;66312067;43068.55;34;32;0.4;1082;15;0;972;529;153;79;2.9;0;134;47;169;265;1;76;255;240;233;1746;121;1746;1275;28;60;115;1.7;8.1;35;75;7.9;130;441;543;-67;24;33;0;0;7.2;-2.2;18;63;17;33;63;416;36;96;6;6.4;0.2;1.2;9.2;17
Gabon;18203968001.89;1883801;9663.42;4.9;2;217;0;220;2;14;4.6;1;1.3;1;0.6;1;0.4;2;1.6;0;0;1;0.6;3.3;23;220;23;17;-0.3;3;7.7;0;0;0.5;0;0.4;0.7;1.9;1.9;0.4;0.3;1.1;0;0;0;0;0.3;0.8;0;0;0;0;0.3;0.8;0;0;0;0;0;0
Germany;3889093051023.52;80982500;48023.87;14.33333333;11;0.2;601.6666667;16;0.066666667;360;301.6666667;61.33333333;35;0.033333333;0;30;26.66666667;143;155;0;32.33333333;158.3333333;145;104;791.3333333;64.66666667;791.3333333;708.6666667;16.33333333;38.66666667;45.33333333;3.333333333;18.66666667;8;24.66666667;13.33333333;66;178.6666667;198;-11.33333333;29.33333333;111.3333333;0;0;2.266666667;-0.7;1.466666667;6.333333333;29;50.33333333;4;30.66666667;30.66666667;57;12.66666667;12;0.166666667;0.666666667;13;19
Ghana;54782847752.54;27224480;2012.26;2.7;0;108;14;105;0.7;36;0.6;2.5;0.2;1.2;0.1;7.6;0;26;0.9;0;0;3.7;0.2;11;78;106;78;2.8;0.6;0.7;0.7;0;0;2.9;0.5;0;3.1;9.2;13;-0.5;1.5;4.3;0;0;0;0;1.6;8.3;0;0;0;0;1.6;8.3;0;0;0;0;0;0
Greece;235458133124.61;10892413;21616.71;35;29;1.2;421;1.2;0;84;198;23;48;0;0;16;23;58;108;0;3.2;39;87;43;283;11;283;570;6.3;62;107;0;0.3;4.1;0.6;9.5;18;51;47;8.8;10;34;0;0;0.7;0;2.7;4.5;4.7;7.8;0;0;7.4;12;2.6;3.8;0;0;2;3.7
Guatemala;57852399963.79;15306316;3779.64;7.1;0;9.9;0;10;0;30;0.7;0.4;0;0.5;0;9.6;0;26;0;0;4;0.7;0.6;11;75;14;75;1.4;0;9;0;0.7;2.3;1.4;1.2;0.7;3.4;8.9;11;-0.5;1.6;3.4;0;0.3;0;0;1;4.8;0.8;2.6;0;0;1.8;7.4;0;0;0;0;0;0
Honduras;19756494434.70;8955579;2206.05;1.5;0;0;0;0;0;17;0;1.5;0;0.5;0;3.8;0;13;0;0;0;0;0;8.6;56;0;56;0;0;20;0;0.1;0.4;2.9;0.5;0.8;2;5.5;8.1;0.3;1.1;4.7;0;0;0;0;0.6;2.6;0.3;0.8;0;0;0.9;3.4;0;0;0;0;0.2;0.4
Hungary;141078984816.68;9866468;14298.83;0;0;0.2;122;11;0;59;75;3.7;4.2;0;0;15;3.6;30;26;7;7.5;38;62;17;146;30;146;172;4;1.1;1;0.6;2.2;3.6;5.7;19;9;37;27;13;6;9.4;0;0;0;0;0;0.3;1;3;1.9;15;1.1;3.3;0;0;0;0;0.3;0.6
India;2039127446298.55;1295600768;1573.89;110;25;0.7;3785;767;5.6;1417;1937;123;241;154;160;561;313;429;755;112;8.3;759;1033;472;3550;990;3550;4657;102;107;217;5;28;229;4.4;5;277;1030;1258;0.6;199;1027;0;0;4.8;0;37;128;31;70;5.3;33;68;198;3.7;5.8;0;0;22;36
Indonesia;890814755233.23;255128076;3491.64;22;2.3;301;342;789;3.7;557;360;72;55;19;20;194;17;565;230;46;60;164;156;215;1626;909;1626;973;14;55;135;1.7;1;21;0;0;55;194;216;0;46;190;1.4;10;0;0;5.2;15;3.2;11;0;0;8.4;26;0;0;0;0;0;0
Iran;460382791826.34;77465769;5943.05;95;65;1084;6.4;3239;157;609;604;27;27;68;68;65;65;411;382;243;0.5;396;229;268;1913;3487;1913;1803;4.7;335;428;0;0;35;9.7;3.8;73;218;258;-5.9;61;241;0;0;0.5;0;9.9;14;0.2;0.4;0.9;3.7;10;14;0;0;0;0;0.2;0.4
Iraq;228415656174.96;34411949;6637.68;15;3.4;2518;0;3370;140;339;104;11;4.7;28;30;50;5.3;110;56;50;0;210;38;113;879;3408;879;487;-12;131;248;0;0;34;0;12;26;42;64;12;23;61;0;0;0.2;0;2.5;2.9;0;0;0;0;2.6;3;0;0;0;0;0;0
Ireland;258969649063.72;4657740;55599.85;2.6;0.4;0;55;0;0;67;22;15;0;15;3;4.2;1.9;27;11;0;0.6;8.8;1.7;20;140;0.4;140;57;-0.2;2.9;17;0;0.6;2;0.7;2.9;9;25;25;2.1;6.1;19;0;0;0.3;-0.2;0.2;0.7;2.4;5.8;0;0;2.6;6.5;0;0;0;0;2.3;5.1
Israel;310944937638.44;8215700;37847.65;2.2;1.7;0;225;0.4;0;51;110;18;22;5.8;2.8;14;13;62;65;0;0;49;44;26;206;5.7;206;300;5.3;7.7;43;0;0;1.7;4.8;0;16;51;57;-4.8;15;56;0;0;0;0;0;0;0.7;0.9;0;0;0.7;1;0.7;0.9;0;0;0;0
