Country;Bun_Con;Bun_Res_Oil_Con;Cru_Exp;Cru_Imp;Cru_Pro;Cru_Res;Die_Con;Die_Pro;Jet_Con;Jet_Pro;Ker_Con;Ker_Pro;LPG_Con;LPG_Pro;Gas_Con;Gas_Pro;NG_Lq_Pro;Otr_Lq_Pro;Otr_Ref_Con;Otr_Ref_Pro;CO2_Pet_MMT;Liq_Con;Liq_Pro;Ref_Con;Ref_Pro;Gan_Ref;Res_Oil_Con;Res_Oil_Pro;Bio_Cap;Bio_Gen;Per_Dis;Ele_Exp;Ele_Imp;Cap_Tot;Con_Ele;Gen_Ele;Net_Imp_Ele;Fos_Cap;Fos_Gen;Geo_Cap;Geo_Gen;Hid_Bom_Cap;Hid_Bom_Gen;Hid_Cap;Hid_Gen;Ren_No_Hid_Cap;Ren_No_Hid_Gen;Nuc_Cap;Nuc_Gen;Ren_Cap;Ren_Gen;Sol_Cap;Sol_Gen;Mar_Cap;Mar_Gen;Eol_Cap;Eol_Gen
NetherlandsAntilles;32;26;0;196;0;0;14;41;2.5;15;0;0;2;2;2.1;44;0;0;20;32;13;85;0.6;85;200;0.6;44;66;0;0;0.1;0;0;0.4;0.8;0.9;0;0.3;0.7;0;0;0;0;0;0;0;0.3;0;0;0;0.3;0;0;0;0;0;0.2
NewZealand;5.3;4.2;34;100;39;0;57;41;23;21;0;0;4.8;0;53;30;7.3;0.3;13;9.6;22;156;51;156;111;4.6;5.3;9.3;0.1;0.8;2.8;0;0;9.8;40;43;0;2.7;8.4;0.9;7.2;0;0;5.4;24;1.8;10;0;0;7.1;34;0;0;0;0;0.7;2.2
Nicaragua;0.4;0;0;14;0;0;11;4.4;0.6;0.6;0.1;0.1;3.3;0.3;6.3;2.3;0;0.2;2.1;1.1;4.6;32;0;32;14;-0.2;8.7;5.6;0.1;0.5;0.9;0;0;1.5;3.4;4.3;0;0.9;1.9;0.2;0.7;0;0;0.1;0.4;0.5;2;0;0;0.6;2.4;0;0;0;0;0.2;0.9
Nigeria;14;4.7;2120;0;2347;37;60;13;8;1;54;13;1;2.4;300;13;50;5;14;14;62;454;2405;454;75;3.3;17;18;0;0;4.8;0;0;11;26;31;0;8.5;25;0;0;0;0;2.1;5.3;0;0;0;0;2.1;5.3;0;0;0;0;0;0
Norway;2.7;1.4;1294;25;1562;5.8;100;131;20;12;0.7;2.4;23;12;22;77;327;0.2;53;51;27;222;1893;222;315;3.8;2.3;31;0.2;0.5;7.6;22;6.3;34;117;140;-16;1.4;3;0;0;1.4;-0.3;30;135;1.1;2.7;0;0;31;138;0;0;0;0;0.9;2.2
Oman;33;22;804;0;943;5;51;54;11;13;0;0;5;10;64;69;7;0;12;21;26;165;951;165;224;1;22;55;0;0;3.2;0;0;8.2;24;27;0;8.2;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pakistan;6;1.7;9.5;167;94;0.3;152;92;14;15;3.7;3.7;20;6.4;111;38;4;0.2;20;43;75;498;98;498;254;0.2;176;57;0.3;0;18;0;0.4;25;84;102;0.4;17;64;0;0;0;0;7.2;32;0.7;1;0.7;4.6;7.9;33;0.2;0.2;0;0;0.3;0.8
PapuaNewGuinea;1.3;0.1;0;0;49;0.2;14;8.1;1;0;0.9;2;0.5;0.4;0.8;0;0;0;1.2;7.1;4.6;29;49;29;21;0;11;3.2;0;0;0.3;0;0;0.6;3.4;3.6;0;0.3;2.6;0;0;0;0;0.2;1;0;0;0;0;0.3;1;0;0;0;0;0;0
Peru;17;0;16;85;69;0.6;92;75;17;15;1.2;1.2;49;5.8;31;45;103;2.8;22;14;30;224;178;224;187;3;12;31;0.2;1.3;5;0;0;10;39;44;0;6.5;20;0;0;0;0;3.4;22;0.4;1.7;0;0;3.8;24;0.1;0.2;0;0;0.1;0.3
Philippines;24;1.2;18;178;38;0.1;143;61;35;17;2.9;1.2;35;9.6;70;30;0;4.9;23;18;49;348;45;348;169;1.8;40;33;0.1;0.2;7.3;0;0;19;66;74;0;12;54;1.9;10;0.7;0;3.5;9;2.4;11;0;0;6;20;0;0;0;0;0.3;0.2
